order_id,customer_email,product_list,total_price,order_date
1,john@example.com,"Jacket, Watch, Sneakers, T-shirt, Jeans",1205.36,10/01/2022 18:49:02
2,emilydavis7890@example.com,Watch,473.09,01/23/2022 14:28:49
3,stephaniebrown5678@gmail.com,"Sneakers, T-shirt, Jeans",486.4,09/03/2022 03:12:19
4,rachelgray7890@yahoo.com,"Watch, T-shirt, Jeans, Jacket, Sneakers",1851.6399999999999,12/18/2022 06:24:40
5,nickjones2468@outlook.com,"Jeans, T-shirt, Jacket, Watch, Sneakers",1330.04,05/05/2022 15:21:05
6,john@example.com,"Sneakers, T-shirt, Jeans, Watch, Jacket",1062.9,02/10/2023 01:36:22
7,jessicasmith5678@gmail.com,"Watch, Jacket, Jeans, T-shirt",1224.5900000000001,12/07/2022 09:03:50
8,bob@example.com,"Watch, Jacket",323.47,02/22/2023 21:29:57
9,patricktaylor1357@yahoo.com,"Jacket, Watch, T-shirt, Jeans",408.04,06/09/2022 22:00:53
10,rachelgray7890@yahoo.com,"T-shirt, Watch, Jeans, Sneakers",835.65,10/13/2022 07:28:42
11,nickjones2468@outlook.com,"Jeans, Sneakers",459.0,05/09/2022 19:53:22
12,bob@example.com,Jacket,84.73,03/02/2022 03:42:20
13,matthewjackson5678@hotmail.com,"Watch, Sneakers",371.12,05/31/2022 12:25:17
14,amybrown7890@outlook.com,Jacket,395.18,08/09/2022 19:51:58
15,stephaniebrown5678@gmail.com,"Watch, T-shirt",756.4300000000001,04/07/2022 20:18:14
16,matthewjackson5678@hotmail.com,"Jeans, T-shirt, Sneakers, Jacket, Watch",878.6399999999999,05/19/2022 08:46:53
17,bob@example.com,"Watch, Sneakers",587.16,01/02/2022 12:07:02
18,,"Jeans, T-shirt",687.29,01/09/2022 18:57:44
19,davidlee2468@yahoo.com,Jacket,275.75,05/26/2022 09:59:50
20,laurensmith1357@gmail.com,"T-shirt, Sneakers, Jeans, Watch",585.99,03/02/2023 20:01:56
21,sarahjones5678@gmail.com,,862.84,06/10/2022 17:05:20
22,emilydavis7890@example.com,"Watch, Jeans",443.28,08/10/2022 17:22:50
23,rachelgray7890@yahoo.com,"T-shirt, Watch",540.06,01/31/2023 16:28:36
24,emilydavis7890@example.com,"Jacket, Jeans, Sneakers, T-shirt",622.0600000000001,07/11/2022 22:50:01
25,,"Sneakers, T-shirt, Watch",497.64,01/01/2022 00:12:23
26,,Jacket,15.34,02/26/2023 08:57:07
27,matthewjackson5678@hotmail.com,"Jeans, T-shirt, Watch",696.22,01/13/2022 02:05:44
28,adamjohnson2468@yahoo.com,"T-shirt, Sneakers, Jeans, Jacket, Watch",1578.33,08/28/2022 11:28:00
29,andrewbrown2468@outlook.com,"Watch, Sneakers, Jeans, T-shirt",1586.02,06/12/2022 09:33:08
30,john@example.com,Sneakers,196.8,05/27/2022 14:05:02
31,chrisgreen2468@outlook.com,"Jacket, Watch, Jeans",631.9100000000001,08/27/2022 17:56:31
32,brianwilson4321@hotmail.com,"Watch, Jeans",571.59,05/22/2022 15:53:06
33,nickjones2468@outlook.com,"Watch, Sneakers, Jacket, T-shirt, Jeans",1257.27,02/12/2022 20:57:32
34,rachelgray7890@yahoo.com,"T-shirt, Jacket",792.94,03/08/2023 00:56:50
35,john@example.com,"Jeans, Watch",520.58,01/07/2022 01:51:36
36,jenniferwhite1234@gmail.com,"Jeans, Watch, Jacket, Sneakers",968.8199999999999,06/16/2022 15:50:25
37,laurawilson7890@example.com,Sneakers,319.47,01/13/2023 13:35:46
38,brianwilson4321@hotmail.com,"Sneakers, Jacket, Watch, T-shirt",748.25,06/25/2022 04:05:31
39,matthewjackson5678@hotmail.com,"Sneakers, T-shirt, Jeans, Jacket",842.8699999999999,03/01/2022 01:35:22
40,brianwilson4321@hotmail.com,"Jeans, Watch, T-shirt",1090.4099999999999,04/03/2022 14:10:21
41,patricktaylor1357@yahoo.com,Watch,65.38,01/06/2023 04:01:29
42,emilydavis7890@example.com,"Jeans, Jacket, T-shirt, Sneakers, Watch",1099.3400000000001,09/23/2022 19:27:53
43,matthewjackson5678@hotmail.com,"Jacket, Jeans",499.98,02/04/2022 11:45:38
44,patricktaylor1357@yahoo.com,"Jacket, Sneakers, Jeans",900.57,01/01/2022 16:03:19
