customer_id,customer_email
0,john@example.com
1,jane@example.com
2,bob@example.com
3,johndoe1234@example.com
4,sarahjones5678@gmail.com
5,brianwilson4321@hotmail.com
6,katewilliams7890@outlook.com
7,davidlee2468@yahoo.com
8,laurensmith1357@gmail.com
9,adamjohnson2468@yahoo.com
10,amybrown7890@outlook.com
11,jenniferwhite1234@gmail.com
12,matthewjackson5678@hotmail.com
13,chrisgreen2468@outlook.com
14,rachelgray7890@yahoo.com
15,ericmorris1234@example.com
16,stephaniebrown5678@gmail.com
17,nickjones2468@outlook.com
18,laurawilson7890@example.com
19,patricktaylor1357@yahoo.com
20,jessicasmith5678@gmail.com
21,andrewbrown2468@outlook.com
22,emilydavis7890@example.com
